word,auto_cluster
asymmetrical,72
atone,22
atrocious,104
attenuate,59
audacious,109
augur,13
authentic,9
authority,176
autocracy,121
autonomy,-1
avarice,-1
aver,115
averse,88
avid,155
awash,-1
awe,99
awkward,178
avant-garde,-1
awry,-1
axiomatic,-1
babble,85
backhanded,-1
badger,-1
badinage,101
bait,-1
bale,100
baleful,103
balk,-1
balky,150
balderdash,85
balloon,25
balm,8
banal,53
bane,95
banish,80
banter,101
barb,108
barbarous,104
barefaced,-1
bargain,-1
baroque,-1
barrage,141
barren,178
barricade,148
barter,72
beguile,84
bathetic,1
befuddle,27
bedeck,-1
belabor,108
beleaguer,-1
belie,-1
bellwether,127
beneficent,-1
benign,18
berate,108
beseech,57
besmirch,-1
bifurcate,46
bigot,-1
bland,30
blandishment,147
blasé,-1
blast,108
blatant,160
blazon,-1
blemish,-1
blight,148
bliss,-1
blithe,-1
blueprint,13
blunder,177
blunt,-1
blur,-1
blurt,-1
bluster,-1
boggle,13
boisterous,94
bolster,-1
bombast,43
bonhomie,-1
boo,-1
boon,-1
boorish,97
bootless,-1
bound,-1
boycott,-1
bracing,120
brake,48
brash,-1
brassy,-1
bravado,98
bravura,166
brazen,-1
breach,-1
brevity,-1
bribe,-1
bridle,-1
brisk,-1
bristle,131
brittle,178
broach,35
bromide,53
brook,-1
browbeat,93
bruit,-1
buck,-1
budge,-1
bulge,19
bully,97
bumptious,142
bungle,11
buoy,120
buoyant,-1
burgeon,26
burlesque,102
burnish,-1
buttress,145
byzantine,-1
cache,-1
cachet,179
cacophony,-1
cavalier,-1
cajole,-1
calcify,-1
calibrate,22
calligraphy,-1
callous,112
callow,71
calumniate,84
camaraderie,5
catharsis,79
camouflage,-1
canard,83
candor,-1
canon,176
canvass,13
capitulate,116
caprice,-1
captivate,130
careworn,100
cardinal,-1
caricature,98
carnal,-1
carouse,117
carp,82
cliquish,82
cast,-1
castigate,108
catalyze,66
catastrophe,178
categorical,163
catholic,54
caustic,102
caveat,124
cavil,-1
cataclysmal,-1
cede,115
cement,81
censor,13
concomitant,-1
censure,107
chic,-1
cessation,114
chaff,101
chagrin,-1
chameleon,134
champion,136
compulsive,-1
chimera,-1
charlatan,83
chary,13
chase,75
chasm,160
chauvinistic,153
check,-1
cherubic,164
chicanery,83
chide,-1
choleric,131
chord,9
chromatic,125
chronic,-1
churlish,97
cipher,-1
circuitous,-1
circumlocution,44
circumscribe,137
circumspect,-1
circumvent,124
civility,-1
chokehold,138
clandestine,40
clarion,113
clarity,159
clasp,106
clement,-1
cliché,53
clog,-1
clot,-1
cordial,139
clout,127
cloying,126
clumsy,74
coagulate,-1
coalesce,-1
coax,147
coda,64
coerce,115
coeval,14
cogent,182
cognizant,144
collapse,-1
collude,40
colossal,167
coltish,101
coma,18
combustible,139
cluster,32
comity,175
commencement,67
commend,7
commensurate,14
commingle,-1
commitment,-1
committed,2
commodious,-1
commonsensical,10
commotion,105
compendium,64
complacency,142
complaisance,-1
compliant,4
compliment,179
clownish,101
compose,-1
compound,-1
compress,59
compromise,-1
compunction,93
concatenate,81
concoct,-1
conceal,40
concede,-1
concentrate,-1
concerted,82
conciliate,-1
commonplace,30
concord,175
concur,174
condescending,153
condign,157
condole,100
condone,-1
conducive,136
cantankerous,119
confine,124
confluence,81
confront,119
confound,98
congeal,62
congenial,174
congruent,180
conjecture,111
connive,40
connoisseur,176
conscientious,-1
consensus,174
consequence,162
conservative,-1
conservatory,176
consilience,82
considerable,176
console,100
consolidate,-1
consonant,174
conspicuous,15
conspire,40
constitute,-1
constrain,-1
constringe,81
construct,-1
consummate,176
contagious,180
contaminate,161
content,-1
contentious,-1
contiguous,82
contort,20
contract,-1
contravene,150
contrite,100
contumacious,97
conundrum,-1
convalesce,-1
cloak,39
convention,174
converge,51
conversant,5
convert,23
consort,-1
cagey,-1
conviction,-1
convoke,81
convoluted,36
convulsion,105
coop,138
copious,122
coquette,130
countervail,115
cornucopia,141
coronation,-1
corporeal,-1
corroborate,-1
corrosive,171
corrugated,-1
cosmopolitan,38
cosset,8
countenance,179
counterfeit,-1
countermand,116
court,-1
covert,40
covetous,155
cow,93
cowardice,78
cower,93
cozen,83
cramped,11
crass,97
crave,155
craven,78
contingency,13
credence,156
credulous,-1
caterwaul,-1
creep,48
crescendo,87
crest,87
crestfallen,100
cronyism,152
crook,51
croon,94
culminate,64
crucial,-1
crumple,20
crutch,136
crux,-1
cryptic,-1
culpable,33
cultivate,-1
cumbersome,36
cunning,-1
curmudgeon,129
cursory,-1
curt,-1
curtail,-1
cynic,97
dabble,-1
daft,68
dazzling,-1
dally,72
damper,-1
dandy,160
dank,62
dapper,-1
dappled,-1
daredevil,77
dart,171
daunt,-1
dawdle,48
deadpan,-1
dearth,56
debacle,-1
debark,80
debase,50
debilitate,-1
debris,-1
debunk,-1
debut,160
decadence,37
detest,88
decipher,181
decode,181
decorous,153
decrepit,-1
default,-1
defer,42
document,-1
deficiency,56
devious,83
deft,-1
defuse,60
defy,-1
dehydrate,128
deify,-1
deject,-1
deleterious,103
deliberate,13
delicacy,160
delirium,105
delusion,-1
deluge,-1
delve,135
demagogue,83
demanding,172
demolition,47
demonstrate,-1
demoralize,178
demotic,1
demur,150
denigrate,102
disingenuous,-1
denounce,107
dent,59
denude,-1
deplete,57
deplore,88
deploy,38
deportation,80
depose,-1
deposit,-1
depravity,103
deprecate,-1
depreciate,50
depressed,100
deprivation,97
deracinate,75
derelict,76
deride,102
derivative,91
descend,-1
divination,13
desecrate,102
desiccate,128
designate,169
despicable,65
despise,88
despotic,97
desultory,-1
detach,46
detain,106
deter,-1
deterioration,-1
detour,146
detract,-1
detritus,46
devoted,2
devout,2
dexterous,176
diabolic,-1
diaphanous,170
diatribe,-1
didactic,136
diehard,150
dovish,8
diffuse,-1
digress,37
dilapidate,-1
dilate,-1
dilatory,42
dilettante,90
diligent,120
dilute,-1
diminish,-1
disquisition,-1
dingy,-1
diocesan,-1
diplomatic,97
dire,-1
demography,23
disabuse,0
disaffected,-1
disarm,59
disarray,28
disavow,-1
discern,160
discharge,-1
disciple,2
discombobulate,-1
discomfit,148
discommode,-1
discompose,-1
disconcert,-1
discord,175
discredit,171
discrepancy,-1
discrete,46
discretion,172
discretionary,142
discriminate,-1
discursive,28
disdain,102
disengage,0
disgorge,49
disgruntle,-1
dignified,-1
disinclination,-1
disinfect,0
disjointed,72
disinter,-1
disinterested,0
disjunctive,46
dismantle,46
dismay,-1
disparage,50
disparate,125
dispassionate,55
dispatch,-1
dispose,-1
disregard,178
dissect,13
dissemble,-1
disseminate,38
dissension,-1
dissent,111
dissipate,-1
dissolute,-1
dissolve,46
dissonance,-1
dissuade,137
distain,-1
distal,16
distend,-1
distill,25
distort,20
distract,125
distraught,105
diurnal,-1
diverge,111
diversity,125
divert,-1
divestiture,-1
divulge,-1
dodder,48
dodge,-1
doff,80
dogged,-1
dogmatic,134
doldrums,72
dolorous,100
dolt,77
domicile,136
dominant,121
don,35
donor,136
doodle,178
dormant,72
dour,104
douse,75
downplay,59
doom,-1
doyen,-1
doze,48
draconian,104
drawl,44
dreary,89
drench,62
drivel,85
diminutive,-1
drollness,101
drone,44
drudgery,36
dubious,27
ductile,-1
dulcet,-1
dullard,77
dupe,-1
duplicitous,33
dwindle,48
dyspeptic,-1
earnest,-1
embryonic,-1
earsplitting,94
eavesdrop,40
ebullient,96
eccentric,146
eclat,-1
eclipse,60
ecstasy,155
ecumenical,38
edible,-1
edifice,-1
efface,-1
effervesce,-1
effete,-1
effluvium,49
effrontery,-1
effulgent,-1
effusive,-1
egalitarian,-1
egoistic,142
elaborate,-1
elastic,58
elate,-1
eleemosynary,-1
elegy,100
elephantine,-1
elevate,-1
elicit,-1
elliptical,-1
elucidate,-1
emaciate,-1
emancipate,-1
embargo,-1
embark,67
embarrass,99
embed,138
embezzle,157
embolden,120
emboss,165
embrace,155
embroider,145
emigrate,80
eminent,87
emollient,60
emulate,-1
enact,-1
enamel,165
encomium,7
encompass,-1
encumber,138
endemic,52
endorse,118
enervate,-1
enfranchise,149
engender,66
engross,-1
enigma,70
enlighten,-1
enmity,119
ennoble,-1
ennui,90
expostulate,66
ensconce,40
ensue,-1
entangle,36
episodic,74
entice,117
entrance,-1
entrap,130
entreat,57
enunciate,182
ephemeral,31
epic,-1
epicure,153
epigram,63
epilogue,64
epithet,-1
epitomize,-1
equable,8
equity,-1
equivalent,14
equivocate,15
empirical,-1
errant,146
erratic,54
erudite,-1
escalate,25
eschew,-1
esoteric,70
espouse,136
esteem,3
estimable,165
estrange,119
etch,160
eternal,21
ethereal,183
ethics,121
eulogize,7
euphemism,-1
euphonious,-1
euphoria,143
evacuate,79
evanescent,-1
entail,66
everlasting,21
evict,80
evince,144
evoke,-1
exacerbate,104
exacting,173
exalt,7
exasperate,154
excavate,75
exceptional,-1
excoriate,108
excrete,80
excruciate,95
exculpate,0
excursive,52
execrate,88
exemplary,-1
exempt,0
exhaust,-1
exhilarate,-1
exhort,117
exigent,-1
exodus,80
exonerate,0
exorbitant,158
exotic,146
expansive,-1
expediency,-1
expedite,48
expiate,-1
expire,-1
explicit,182
exploit,179
exponent,127
expurgate,79
exquisite,153
extant,55
extemporize,69
extenuate,60
extinct,72
extinguish,75
extol,7
extort,-1
extract,-1
encyclopedic,-1
extraneous,85
extravagant,149
extricate,0
exuberant,155
exude,-1
exult,7
fable,98
fabricate,160
facetious,101
facile,91
facilitate,23
faction,-1
fallacious,-1
fallow,21
fail-safe,-1
falsehood,83
falter,177
fanatic,155
fantasy,181
farce,77
fascinate,155
fast,-1
fastidious,166
fateful,-1
fathom,145
fatigue,73
fatuous,77
faultfinder,108
favorable,-1
fawn,152
faze,-1
feckless,178
fecund,-1
feeble,74
feign,-1
foreshadow,13
feral,54
fertilize,122
fervid,-1
forte,-1
fester,97
fetid,49
fetter,138
fiasco,-1
fickle,23
fictitious,-1
fidelity,2
figurative,133
fractious,112
filibuster,42
filter,52
finale,64
finesse,148
finicky,166
flaccid,74
flag,-1
flamboyant,-1
flatter,7
flaw,-1
fledgling,67
fleet,23
flexible,183
flinch,58
flippancy,102
flirt,-1
flit,52
flock,52
florid,-1
flounder,11
flourish,115
flout,-1
flabby,74
fluent,-1
fluky,13
flush,62
fluster,-1
foible,-1
foil,-1
foment,26
foolproof,-1
footloose,72
forbearance,-1
forebear,-1
forestall,13
foreword,-1
forge,98
formidable,36
forthright,-1
fortify,120
foster,26
founder,-1
fracas,-1
fracture,46
fragile,-1
frail,178
fraudulent,-1
fraught,-1
frenzy,105
fretful,-1
far-fetched,-1
friable,-1
friction,-1
frigid,178
fringe,-1
frivolous,178
frothy,77
frowsy,-1
frugal,-1
fungible,133
full-bodied,162
fulminate,108
fumble,11
furor,155
furtive,39
fury,132
fussy,173
fusty,178
futile,56
gadfly,120
gaffe,76
gainsay,84
gall,-1
gallant,109
galvanize,154
gamble,57
gambol,101
gag,101
garble,83
gargantuan,167
garish,-1
generic,91
garrulous,44
guardian,34
gleam,61
gauche,78
gaudy,-1
gauge,14
gear,22
genial,-1
genteel,0
germane,157
gibe,101
giddy,90
gild,164
gist,-1
gigantic,167
glaze,-1
glib,178
glisten,161
glitch,-1
gloat,142
gloomy,-1
gloss,170
glossy,-1
glut,158
glutinous,-1
glutton,-1
goad,123
gobble,117
goggle,13
goldbrick,33
gorge,117
gossamer,170
grimy,97
gourmet,153
grandeur,167
grandiloquent,-1
grandiose,167
grandstand,-1
grate,-1
gratify,57
gratuitous,-1
green,56
gregarious,-1
grieve,100
glamorous,130
grin,100
gripe,129
grisly,-1
groove,143
grotesque,49
grovel,93
grueling,-1
guile,83
gull,-1
glean,-1
groundless,69
gush,41
gust,-1
guzzle,117
hack,177
hackneyed,91
halcyon,0
hale,0
half-baked,68
hallmark,160
hallow,3
hallucination,-1
ham-handed,74
hammer,-1
hamper,138
hamstring,56
hangdog,100
hanker,155
haphazard,28
harangue,43
harass,129
harbinger,13
harbor,13
hard-bitten,-1
hardy,-1
harmonious,9
harness,57
harrow,99
harry,-1
harsh,157
hasten,48
hasty,-1
haunt,-1
hauteur,97
haven,34
havoc,28
headlong,69
hearken,13
hearten,120
heartrending,100
hedonism,143
hegemony,127
heinous,102
hew,106
herald,13
heresy,134
heretical,-1
hermetic,-1
hagiographic,165
heterodox,134
hidebound,152
hideous,97
hie,-1
humbug,83
hilarious,101
histrionic,113
hive,-1
hoard,40
hoary,-1
hoax,84
hodgepodge,125
homage,3
homely,97
homily,-1
homogenize,118
hone,24
hoodwink,83
hortative,117
heartfelt,-1
hubris,41
humble,178
hedge,-1
humor,-1
hurricane,-1
husband,57
husk,79
husky,104
hybrid,125
hymn,7
hyperbole,41
hypnotic,6
hypocritical,-1
iconoclast,118
idolatrize,155
idyll,0
ignite,155
ignominy,73
illiteracy,-1
illuminati,-1
illuminate,23
illusory,-1
imbibe,62
imbroglio,-1
imitation,133
immaculate,69
immanent,-1
immaterial,85
immature,26
immemorial,-1
immune,-1
immure,138
immutable,23
impassive,86
impeccable,0
impecunious,72
impede,48
impending,13
impenetrable,178
impenitent,-1
imperative,-1
imperial,168
imperious,97
impertinent,178
imperturbable,8
impervious,-1
impetuous,-1
impious,90
implacable,171
implement,-1
implode,37
importune,57
imposing,168
impostor,-1
impotent,74
imprecise,-1
impromptu,69
improvise,-1
imprudent,68
impudent,-1
impugn,84
impuissance,74
inadvertent,177
inalienable,-1
inane,92
inanimate,72
inaugurate,67
incandescent,139
incantation,-1
incarnate,-1
incendiary,140
incense,132
inception,67
incessant,69
inch,48
inchoate,-1
incinerate,-1
incipient,-1
incite,123
inclement,178
incogitant,-1
incongruent,-1
inconsequential,85
incontrovertible,-1
incorrigible,178
incriminate,-1
incubate,148
inculpate,-1
incursion,-1
indelible,13
indemnity,57
indict,-1
indifferent,72
indigenous,-1
indigent,72
indispensable,163
indoctrinate,145
indolent,11
induce,66
indulgent,126
indurate,-1
industrious,13
ineffable,29
ineluctable,13
inept,178
inert,-1
inevitable,29
inexorable,147
infamous,-1
infatuate,-1
incommensurate,167
infiltrate,-1
infinite,55
infirm,178
inflame,-1
infelicitous,178
influx,-1
infuriate,131
infuse,-1
ingenious,15
intermediary,174
ingenuous,78
ingest,-1
ingrained,156
ingratiating,179
inherent,163
inimical,119
inimitable,54
iniquity,103
initiate,66
inkling,-1
innocuous,-1
innovative,-1
inquisitive,-1
insensible,18
inconsistent,-1
insentient,178
inconclusive,-1
insipid,90
insolent,97
insouciant,0
instate,-1
instigate,-1
instill,-1
institute,-1
insubordinate,4
insular,-1
insulate,16
insurgent,150
intangible,29
integral,55
integrity,-1
intelligible,-1
intemperate,-1
intensify,155
inter,-1
intercessor,156
interdict,137
interim,-1
interlock,82
interminable,-1
intermittent,54
interregnum,-1
interrogate,-1
intimate,-1
intimidate,93
intoxicant,-1
intransigent,150
intrepid,109
intrigue,-1
intrinsic,163
intuitive,-1
inundate,-1
inure,-1
invective,102
inveigh,-1
inveigle,147
inventory,63
inveterate,156
invidious,171
invigorate,120
invincible,29
invoke,169
irascible,131
irate,132
iridescent,-1
irk,-1
ironclad,21
irradicable,47
itinerant,52
irrigate,62
irritate,131
issue,111
jabber,44
jaded,73
jape,-1
jargon,-1
jarring,-1
jaundice,-1
jaunty,-1
jejune,85
jettison,79
jeopardy,13
jest,77
jibe,9
jingoist,-1
jitters,-1
jocular,101
jocund,-1
jog,123
jolt,49
jot,63
jovial,101
jubilant,-1
judicious,-1
juggernaut,-1
ken,-1
kidnap,110
kindle,-1
kindred,133
knack,15
kilter,-1
knit,82
knotty,36
kudos,179
labile,-1
laborious,173
labyrinth,36
lacerate,95
lackluster,-1
lachrymose,100
laconic,63
lambaste,108
lament,100
libelous,-1
lampoon,102
languid,73
languish,-1
languor,178
lank,183
lapse,-1
largesse,-1
lash,115
lassitude,-1
latent,91
latitude,61
laudatory,7
lavish,183
leaven,-1
leer,21
leery,-1
legacy,-1
lucrative,57
legion,-1
lenient,-1
lethal,103
lethargic,73
levelheaded,156
levity,77
liability,33
liberal,-1
libertine,69
licentious,-1
liken,133
limber,19
limp,74
limpid,159
linger,48
lissome,183
list,-1
lithe,183
loath,-1
loathe,88
lofty,-1
loll,72
lopsided,74
loquacious,44
loutish,77
lubricate,-1
lucid,-1
lug,-1
lugubrious,100
lull,-1
lullaby,0
lumber,171
luminary,-1
lurch,18
lurk,6
lush,122
lustrous,161
luxurious,126
lyric,120
macabre,99
macerate,62
maculate,161
maelstrom,94
magnificent,168
maladroit,74
malaise,49
malcontent,171
malicious,103
malign,171
malinger,41
malleable,183
malodorous,49
mandatory,-1
mangle,-1
mangy,102
mania,155
manifest,181
manipulate,96
mannered,-1
manumit,0
manuscript,-1
mar,138
malfeasance,-1
martinet,104
marvel,-1
mash,32
masquerade,98
mastery,166
matriculate,-1
maudlin,-1
maven,-1
maverick,-1
mawkish,-1
meager,56
mean,178
meander,-1
measly,32
measured,157
meddle,-1
mediate,174
mediocre,156
medley,125
meek,4
meet,157
mellifluous,-1
melodramatic,-1
menace,95
mendacious,-1
mentor,136
mercenary,-1
mercurial,23
merited,-1
mesh,-1
mesmeric,130
metamorphose,23
metaphysical,-1
meteoric,63
methodical,28
meticulous,-1
mettle,139
miff,129
migratory,52
milk,57
mime,-1
mimic,160
minatory,103
ministration,136
mingle,125
minimize,59
mint,-1
minuscule,32
minute,172
minutiae,-1
mirage,-1
mire,148
mirth,-1
misanthropic,93
misbehaving,97
mischievous,101
misconstrue,-1
miscreant,-1
misdemeanour,60
miserly,97
manacle,138
misgiving,27
mishap,-1
misrepresent,83
mite,32
mitigate,60
majestic,168
mockery,-1
moderate,-1
modicum,32
mollify,8
mollycoddle,126
molt,80
momentous,162
momentum,117
mongrel,125
monochromatic,91
monologue,-1
monotonous,30
montage,17
moratorium,114
morbid,-1
mordant,-1
moribund,-1
morose,-1
mosaic,17
monolithic,-1
moth-eaten,-1
motile,48
motivate,136
motley,125
mottle,-1
multifarious,125
mournful,100
metaphor,133
muddy,170
muffle,60
mulish,-1
mumble,27
mundane,1
munificent,-1
murky,71
murmur,129
mutate,23
mute,44
mutter,-1
myopic,68
myriad,141
nadir,50
naive,71
narcissistic,142
nascent,-1
natty,-1
nauseate,65
nautical,61
naysay,150
nebulous,27
needy,-1
nefarious,104
negation,-1
negligent,-1
negotiate,174
neophyte,67
nerve,-1
nettle,131
neutralize,-1
nexus,162
nibble,32
nicety,13
nil,85
nip,32
nitpick,108
nocturnal,-1
noisome,49
nomad,72
nominal,92
nonchalant,86
nondescript,91
nonentity,92
nonplus,27
numinous,146
notch,-1
novel,17
noxious,171
nuance,160
nudge,147
nugatory,-1
nurture,145
obtrusive,49
obdurate,-1
obedient,4
obeisance,3
obfuscate,27
obligatory,-1
obliging,-1
oblique,20
obliterate,79
oblivious,71
obloquy,102
obscure,-1
obsequious,155
obsess,93
obstinate,147
obstreperous,112
obstruct,-1
obtuse,-1
obviate,-1
occult,-1
odium,88
offbeat,146
offhand,69
officious,-1
offish,16
off-key,-1
ominous,103
omniscient,57
onerous,36
opaque,-1
opine,134
opportune,-1
opprobrious,171
outrageous,171
orient,144
original,-1
orthodox,118
oscillate,22
ossify,150
ostentatious,-1
ostracize,-1
oust,75
overweening,142
outlandish,146
outmaneuver,-1
outset,67
outwit,-1
overbearing,97
overlap,133
overt,17
overture,67
oxymoron,125
pacify,-1
padding,158
paean,7
painstaking,13
palatable,143
palatial,165
pall,130
palliate,60
pallid,178
palmy,122
palpable,15
palter,83
paltry,162
pan,108
panache,165
pandemic,38
pandemonium,94
panegyric,-1
panoramic,57
provenance,125
paradigm,-1
paradise,143
paradox,-1
paragon,-1
paramount,162
paranoid,93
paraphrase,125
parch,-1
parenthesis,-1
pariah,88
parity,14
parody,-1
paroxysm,105
parrot,-1
parry,-1
parsimonious,-1
partial,178
particularize,145
partisan,-1
pastiche,-1
partition,46
patent,-1
pathological,146
patina,-1
patrician,176
patriot,-1
patronize,136
paucity,112
province,127
peck,32
pedagogue,127
pedant,121
predestine,13
pedestrian,73
peep,63
peer,14
peeve,-1
pejorative,102
pellucid,159
plaintive,100
polymath,135
penchant,-1
penitent,-1
pensive,100
penury,171
perambulate,52
perceptible,160
peremptory,-1
parochial,54
perfidy,97
perforate,-1
perfunctory,-1
perimeter,158
periodical,-1
peripatetic,52
peripheral,-1
perish,47
permanent,21
permeable,-1
permeate,38
pernicious,104
patchwork,125
perpetual,21
persecute,95
persiflage,101
persistence,21
personable,164
perspicacious,153
perspicuity,159
pertain,-1
pertinacious,134
pertinent,159
penance,-1
peruse,13
pervade,-1
pessimistic,27
petition,57
petrify,48
petty,32
phenomenal,146
philanthropic,153
philistine,-1
phlegmatic,73
piddling,77
piebald,125
pigment,-1
pilfer,115
precocious,13
pillory,107
pilot,-1
pine,155
pinnacle,87
pinpoint,-1
piquant,-1
pique,154
pirate,110
pithy,63
pitiless,86
pittance,32
placate,-1
placebo,-1
plagiarize,115
plangent,113
plastic,23
plateau,176
platitude,53
plausible,157
plague,171
plethora,122
pliable,183
pliant,183
plight,-1
plodding,30
pluck,109
plumb,-1
plummet,37
plump,179
plunge,37
polarize,46
polemic,134
polished,166
politic,-1
polymath,-1
pompous,-1
ponderable,167
ponderous,167
pontificate,43
pore,13
porous,62
portentous,103
poseur,97
posit,-1
postulate,-1
posture,-1
potable,-1
potentate,127
potentiate,-1
pout,-1
practitioner,127
premium,167
prate,44
preach,147
precarious,178
precedent,-1
ploy,-1
precipitate,177
precipitation,177
precipitous,-1
preclude,-1
precursor,-1
predecessor,-1
predilection,-1
preeminent,-1
preempt,-1
preen,160
preface,64
pregnant,120
premeditate,13
preoccupation,93
preponderant,-1
prepossessing,152
preposterous,-1
presage,13
prescience,13
prescription,179
primitive,-1
prestige,3
presumptuous,-1
pretense,98
preternatural,-1
prognosis,13
prevalent,1
prevaricate,-1
primordial,13
primp,165
peddle,57
pristine,18
privation,-1
probe,-1
probity,153
proclivity,-1
procrastinate,42
procure,115
prod,147
prodigal,149
prodigious,-1
profane,102
proffer,57
proficient,166
profligate,149
pushover,-1
profusion,122
prohibitive,137
proliferate,26
prolix,44
prologue,-1
prolong,-1
promulgate,144
proofread,-1
propagate,38
propensity,-1
prophetic,13
propitiate,-1
propitious,-1
proponent,136
propriety,157
prosaic,-1
proscribe,137
prosecution,-1
proselytize,23
prospect,-1
prosperous,26
prostrate,-1
protean,-1
protocol,-1
protract,21
protrude,17
protuberant,-1
provident,149
providential,153
provincial,91
provisional,-1
provisory,-1
provoke,140
prowess,109
prowl,52
prude,153
prudent,172
prudish,97
prune,42
pry,13
pseudonym,-1
putative,134
pecuniary,61
puckish,96
puerile,77
puissance,-1
pulchritude,161
pulverize,47
permeate,38
punctilious,13
pundit,134
pungent,102
puny,-1
purport,121
purlieu,-1
purloin,115
purvey,-1
pusillanimous,93
quack,-1
quaff,117
quail,93
qualify,-1
quandary,27
quarantine,16
qualm,93
quash,-1
quirky,146
quell,148
quench,-1
querulous,129
quibble,-1
quiescent,72
quixotic,-1
quota,19
quotidian,1
rabble,105
rabid,-1
racy,-1
raffish,97
recapitulate,63
rage,132
ragged,-1
rail,-1
rakish,-1
ramble,44
rambunctious,94
ramshackle,37
rancor,-1
random,91
rankle,131
rant,-1
rapacious,97
rapport,5
rapprochement,5
rapscallion,103
rapt,143
rarefy,23
rash,13
raspy,104
ratify,118
ratiocination,13
ration,32
rational,10
rave,-1
ravel,46
ravish,-1
raze,47
row,134
reactionary,150
ream,108
ramification,-1
reassure,58
rebuff,151
recalcitrant,97
recant,-1
recessive,11
recidivate,58
reciprocate,58
reckless,76
recluse,80
recoil,-1
reconcile,175
recondite,70
reconnoiter,13
reconstitute,58
repentant,100
rectitude,153
recumbent,6
recuperate,45
redolent,161
redoubtable,-1
redundant,158
reel,18
referee,-1
refine,24
reflect,169
refractory,-1
refulgent,164
refute,-1
regenerate,58
regimen,-1
regress,-1
rehabilitate,58
rehearsal,13
reign,127
rein,124
reiterate,58
rejoice,143
relapse,-1
rehash,58
relentless,178
relevant,-1
reminiscent,120
relinquish,116
relish,143
reluctant,-1
remiss,76
resent,-1
remonstrance,-1
remorse,-1
remunerate,57
rend,46
renegade,2
renounce,116
renovate,58
repartee,101
repatriate,58
repeal,116
repel,-1
repertoire,57
repine,171
replete,141
repose,149
reprehend,107
repress,-1
reprieve,-1
reproach,108
reprobate,97
reproof,-1
reprove,-1
repudiate,-1
repugnant,65
repulse,151
repute,152
requite,-1
requisite,163
rescind,23
reserved,138
residue,21
resign,116
resilience,-1
resolute,-1
resonant,120
resourceful,-1
respite,6
retroactive,13
resplendent,96
responsive,63
restive,93
restless,94
revelation,144
resurgence,58
resuscitate,58
retainer,136
retaliate,57
retard,48
repetitious,-1
reticent,44
retort,63
retouch,24
retract,58
retrench,-1
retribution,-1
retrograde,-1
retrospective,58
revel,155
revenge,119
revere,58
resonate,45
revive,-1
revoke,116
revolt,65
ribald,97
rickety,74
restorative,45
ridicule,101
rife,141
rift,-1
rile,105
ripen,-1
riot,-1
rite,118
rive,46
riveting,-1
renaissance,-1
robust,120
roil,-1
rosy,-1
rookie,82
rote,-1
rationale,145
rouse,-1
royalty,179
rubicund,45
rudimentary,181
rue,-1
ruffle,-1
ruminate,13
rumple,28
revision,125
runic,27
rupture,-1
ruse,-1
rustic,178
rustle,48
sabotage,148
saccharine,139
sacrilege,-1
saddle,-1
safeguard,148
sage,-1
salient,160
salubrious,45
salutary,-1
salutation,7
salvage,-1
salve,-1
sanctify,-1
sanctimonious,102
sanction,23
sanctuary,34
showcase,164
sanguine,0
sanitary,45
